Make,Model,Year,Mileage,Miles Per Gallon,engine size,Transmission,FuelType,Price
Ferrari,488 GTB,2021,12000,18,3.9L V8,Automatic,Petrol,320000
Ferrari,488 GTB,2021,12000,18,3.9L V8,Automatic,Petrol,320000
Lamborghini,Aventador,2020,9000,15,6.5L V12,Automatic,Petrol,400000
Lamborghini,Aventador,2020,9000,15,6.5L V12,Automatic,Petrol,400000
Porsche,911 Turbo S,2022,8000,20,3.8L H6,Automatic,Petrol,210000
Porsche,911 Turbo S,2022,8000,20,3.8L H6,Automatic,Petrol,210000
Bentley,Continental GT,2021,15000,19,4.0L V8,Automatic,Petrol,220000
Aston Martin,DB11,2022,7000,20,4.0L V8,Automatic,Petrol,NaN
Rolls-Royce,Wraith,2020,5000,14,6.6L V12,Automatic,Petrol,350000
Maserati,Quattroporte,2021,11000,17,3.0L V6,Automatic,Petrol,140000
Mercedes-Benz,S63 AMG,2022,6000,19,4.0L V8,Automatic,Petrol,180000
BMW,M8 Competition,2021,13000,18,4.4L V8,Automatic,Petrol,160000
Audi,RS7,2022,9000,21,4.0L V8,Automatic,Petrol,135000
Jaguar,F-Type SVR,2021,10000,19,5.0L V8,Automatic,Petrol,125000
Tesla,Model S Plaid,2022,4000,102,Electric,Automatic,Electric,135000
McLaren,720S,2021,8000,18,4.0L V8,Automatic,Petrol,300000
Ferrari,Portofino,2022,5000,22,3.9L V8,Automatic,Petrol,230000
Lamborghini,Huracan EVO,2021,12000,16,5.2L V10,Automatic,Petrol,250000
Porsche,Panamera Turbo,2022,7000,20,4.0L V8,Automatic,Petrol,NaN
Bentley,Flying Spur,2021,9000,17,6.0L W12,Automatic,Petrol,260000
Aston Martin,Vantage,2022,6000,21,4.0L V8,Automatic,Petrol,150000
Rolls-Royce,Ghost,2021,4000,15,6.75L V12,Automatic,Petrol,320000
Maserati,Levante Trofeo,2022,8000,16,3.8L V8,Automatic,Petrol,NaN
Mercedes-Benz,AMG GT,2021,11000,19,4.0L V8,Automatic,Petrol,140000
BMW,Alpina B7,2022,5000,20,4.4L V8,Automatic,Petrol,170000
Audi,S8,2021,9000,22,4.0L V8,Automatic,Petrol,130000
,,,,,,,,
Tesla,Model X Plaid,2021,3000,96,Electric,Automatic,Electric,140000
McLaren,GT,2022,6000,22,4.0L V8,Automatic,Petrol,210000
Ferrari,F8 Tributo,2021,10000,19,3.9L V8,Automatic,Petrol,270000
Lamborghini,Urus,2022,8000,14,4.0L V8,Automatic,Petrol,220000
Porsche,Cayenne Turbo,2021,12000,17,4.0L V8,Automatic,Petrol,150000
Bentley,Bentayga,2022,9000,15,6.0L W12,Automatic,Petrol,240000
Aston Martin,DBS Superleggera,2021,7000,17,5.2L V12,Automatic,Petrol,310000
Rolls-Royce,Phantom,2022,4000,12,6.75L V12,Automatic,Petrol,450000
